จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ลานกระบอ,"13,675",74.89,"4,584",25.11,"12,008",70.87,"4,935",29.13
,นอกเขตจงหวดั กาแพงเพชร,768,78.29,213,21.71,690,70.62,287,29.38
กําแพงเพชร ผลรวม,"217,926",71.86,"85,354",28.14,"194,400",68.24,"90,465",31.76,
ขอนแกน,กระนวน,"13,454",43.79,"17,272",56.21,"11,464",39.97,"17,216",60.03
เขาสวนกวาง,"6,333",41.89,"8,785",58.11,"5,323",38.41,"8,537",61.59,
โคกโพธไชย,"3,304",33.35,"6,604",66.65,"2,804",30.47,"6,399",69.53,
ชนบท,"7,756",42.58,"10,460",57.42,"6,740",39.76,"10,211",60.24,
ชมแพ,"23,392",47.15,"26,220",52.85,"20,326",44.76,"25,087",55.24,
ซาสูง,"4,693",43.47,"6,103",56.53,"3,968",39.37,"6,112",60.63,
นาพอง,"20,789",39.63,"31,674",60.37,"18,034",36.63,"31,202",63.37,
โนนศิลา,"4,241",40.73,"6,172",59.27,"3,623",37.38,"6,069",62.62,
บานไผ่,"18,157",46.57,"20,834",53.43,"15,853",43.4,"20,671",56.6,
บานฝาง,"11,012",43.37,"14,381",56.63,"9,478",39.72,"14,383",60.28,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,บานแฮด,"5,374",38.68,"8,519",61.32,"4,598",35.56,"8,332",64.44
,เปอยนอย,"2,658",36.74,"4,577",63.26,"2,240",33.92,"4,363",66.08
,พระยน,"5,898",40.32,"8,731",59.68,"5,239",38.41,"8,400",61.59
,พล,"13,676",42.35,"18,613",57.65,"11,981",39.6,"18,277",60.4
