province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
เชียงราย,เชียงของ,9865,35.71,17757,64.29,8130,31.65,17558,68.35
เชียงราย,เชียงแสน,10294,46.1,12037,53.9,8505,41.28,12098,58.72
เชียงราย,ดอยหลวง,3582,40.46,5272,59.54,2957,37.03,5028,62.97
เชียงราย,เทิง,15402,37.75,25399,62.25,13039,34.3,24975,65.7
เชียงราย,ป่าแดด,4787,35.18,8822,64.82,3963,30.88,8869,69.12
เชียงราย,พญาเม็งราย,8308,42.41,11284,57.59,6891,38.11,11191,61.89
เชียงราย,พาน,26905,43.1,35526,56.9,22393,39.06,34938,60.94
เชียงราย,เมืองเชียงราย,54702,50.04,54620,49.96,47047,45.91,55436,54.09
เชียงราย,แม่จัน,20250,44.06,25709,55.94,17047,40.39,25159,59.61
เชียงราย,ลี้,8813,53.98,7513,46.02,7608,50.54,7446,49.46
เชียงราย,แม่ลาว,7529,44.2,9504,55.8,6284,40.29,9311,59.71
เชียงราย,แม่สรวย,17204,49.33,17673,50.67,14662,45.38,17650,54.62
เชียงราย,แม่สาย,16449,49.31,16911,50.69,14140,45.29,17079,54.71
เชียงราย,เวียงแก่น,4893,40.22,7274,59.78,4004,35.84,7168,64.16
เชียงราย,เวียงชัย,9215,37.27,15513,62.73,7844,33.68,15443,66.32
เชียงราย,เวียงเชียงรุ้ง,5200,37.77,8566,62.23,4355,34.44,8289,65.56
เชียงราย,เวียงป่าเป้า,17671,53.68,15250,46.32,15140,50.14,15054,49.86
เชียงราย,นอกเขต,2548,64.07,1429,35.93,2249,57.77,1644,42.23
เชียงใหม่,วัฒนา,2769,45.94,3259,54.06,2393,43.41,3120,56.59
เชียงใหม่,เมืองเชียงใหม่,55736,49.57,56702,50.43,50905,46.25,59150,53.75
เชียงใหม่,แม่แจ่ม,12973,46.27,15066,53.73,10694,42.31,14579,57.69
เชียงใหม่,แม่แตง,19130,50.8,18528,49.2,16518,47.39,18336,52.61
เชียงใหม่,แม่ริม,20760,46.53,23859,53.47,18347,43.24,24086,56.76
เชียงใหม่,แม่วาง,8304,46.69,9482,53.31,7073,43.46,9202,56.54
เชียงใหม่,แม่ออน,4866,39.39,7488,60.61,4062,35.88,7259,64.12
เชียงใหม่,แม่อาย,14035,48.24,15062,51.76,12261,45.6,14629,54.4
เชียงใหม่,เวียงแหง,4252,56.08,3330,43.92,3582,50.72,3480,49.28
เชียงใหม่,สะเมิง,6984,57.36,5191,42.64,5942,53.06,5256,46.94
เชียงใหม่,สันกำแพง,17917,37.1,30375,62.9,15639,34.04,30300,65.96
เชียงใหม่,สันทราย,34157,48.79,35850,51.21,30726,45.57,36704,54.43
เชียงใหม่,สันป่าตอง,16567,36.52,28792,63.48,14338,33.9,27956,66.1
เชียงใหม่,สารภี,20800,44.45,25993,55.55,18343,41.54,25810,58.46
เชียงใหม่,หางดง,17951,37.45,29984,62.55,15783,34.57,29869,65.43
เชียงใหม่,อมก๋อย,10028,45.04,12239,54.96,8384,41.02,12057,58.98
เชียงใหม่,ฮอด,8635,40.43,12725,59.57,7325,37.71,12100,62.29
เชียงใหม่,นอกเขต,4729,51.73,4412,48.27,4292,47.09,4822,52.91
ตรัง,กันตัง,32031,84.27,5981,15.73,30039,81.73,6713,18.27
ตรัง,นาโยง,18576,85.71,3097,14.29,16999,83.03,3475,16.97
ตรัง,ปะเหลียน,25087,85.47,4265,14.53,23237,82.3,4997,17.7
ตรัง,เมืองตรัง,63247,88.27,8408,11.73,59517,85.88,9784,14.12
ตรัง,ย่านตาขาว,24444,85.64,4100,14.36,22764,82.94,4683,17.06
ตรัง,รัษฎา,11817,87.95,1619,12.05,11067,85.21,1921,14.79
ตรัง,วังวิเศษ,17316,86.46,2711,13.54,16205,83.75,3145,16.25
ตรัง,สิเกา,14801,83.92,2837,16.08,13759,81.2,3186,18.8
ตรัง,ห้วยยอด,37133,86.41,5841,13.59,34656,83.69,6755,16.31
ตรัง,หาดสำราญ,5641,82.29,1214,17.71,5198,80.27,1278,19.73
ตรัง,นอกเขต,551,85.03,97,14.97,508,78.03,143,21.97
ตราด,เกาะกูด,794,78.85,213,21.15,744,74.77,251,25.23
ตราด,เกาะช้าง,2003,73.61,718,26.39,1834,69.1,820,30.9
ตราด,เขาสมิง,15853,82.71,3313,17.29,14491,78.89,3878,21.11
ตราด,คลองใหญ่,5985,77.39,1749,22.61,5422,73.6,1945,26.4
ตราด,บ่อไร่,8832,74.07,3092,25.93,7866,70.19,3341,29.81
ตราด,เมืองตราด,31373,80.4,7647,19.6,28886,76.91,8670,23.09
ตราด,แหลมงอบ,6620,79.61,1696,20.39,6100,76.58,1866,23.42
ตราด,นอกเขต,1009,73.6,362,26.4,902,66.32,458,33.68
ตาก,ท่าสองยาง,12535,60.42,8213,39.58,10354,57.6,7623,42.4
